transactionId,owner,completedOn,certificates,creditType,issuanceId,issuanceDate,vintage,volume,methodologyCode,methodologyName,projectId,projectName,labels,monitoringPeriodStartDate,monitoringPeriodEndDate,auditor
327197d0-a174-4452-acda-193d7c55117d,ACT Commodities Inc.,2025-12-12T15:24:44.968Z,PURO_PR_CORC100+_US_320449_2025_327197d0-a174-4452-acda-193d7c55117d_1-16527,CORC 100+,327197d0-a174-4452-acda-193d7c55117d,2025-12-12T15:24:44.968Z,2025,16527,C03000000,"Biochar, 2022",320449,Joanna,CORC 100+,2024-01-01,2025-06-30,"350 Solutions, Inc."
c917e21f-4c40-4815-9ed6-da9d6a5d2079,Truecoco Ghana Ltd,2025-12-11T06:21:19.317Z,PURO_PR_CORC100+_GH_816220_2025_c917e21f-4c40-4815-9ed6-da9d6a5d2079_1-942,CORC 100+,c917e21f-4c40-4815-9ed6-da9d6a5d2079,2025-12-11T06:21:19.317Z,2025,942,C03000000,"Biochar, 2022",816220,Truecoco Ghana Ltd,CORC 100+,2025-08-05,2025-10-11,Earthood Services Limited
0a023b70-ebb7-4bd5-ad8c-e272368a5b8a,ACT Commodities Inc.,2025-12-10T16:20:56.325Z,PURO_PR_CORC100+_US_133206_2024_0a023b70-ebb7-4bd5-ad8c-e272368a5b8a_1-4026,CORC 100+,0a023b70-ebb7-4bd5-ad8c-e272368a5b8a,2025-12-10T16:20:56.325Z,2024,4026,C03000000,"Biochar, 2022",133206,"Freres Lumber Co., Inc.",CORC 100+,2023-09-01,2024-11-30,Energy Link Services Pty Ltd
ff63b44a-d319-440a-b79d-888785d1b419,Accend AS,2025-12-09T16:05:42.426Z,PURO_PR_CORC100+_GB_680422_2025_ff63b44a-d319-440a-b79d-888785d1b419_1-1416,CORC 100+,ff63b44a-d319-440a-b79d-888785d1b419,2025-12-09T16:05:42.426Z,2025,1416,C03000000,"Biochar, 2022",680422,Brodie Biomass,CORC 100+,2024-09-01,2025-07-31,Energy Link Services Pty Ltd
fbc67876-0d26-4651-addb-bdbda4434f64,"Lithos Carbon, Inc.",2025-12-05T16:16:36.834Z,PURO_PR_CORC1000+_US_203380_2025_fbc67876-0d26-4651-addb-bdbda4434f64_1-2361,CORC 1000+,fbc67876-0d26-4651-addb-bdbda4434f64,2025-12-05T16:16:36.834Z,2025,2361,C07000000,"Enhanced Rock Weathering, 2022",203380,Lithos Carbon US Southeast ERW Deployment,CORC 1000+,2024-05-19,2025-05-20,Eco Engineers
12ec1158-fded-4196-b409-f5bac0d20b3c,Exomad SRL,2025-12-05T14:37:16.078Z,PURO_PR_CORC100+_BO_432524_2025_12ec1158-fded-4196-b409-f5bac0d20b3c_1-12380,CORC 100+,12ec1158-fded-4196-b409-f5bac0d20b3c,2025-12-05T14:37:16.078Z,2025,12380,C03000000,"Biochar, 2022",432524,"Exomad Green, Concepción",CORC 100+,2025-10-13,2025-11-12,EnergyLink Services Ltd
ad6ec91f-3976-45b6-92da-8ecfb963ea4b,Climeworks AG,2025-12-05T09:17:32.946Z,PURO_PR_CORC1000+_IS_631817_2025_ad6ec91f-3976-45b6-92da-8ecfb963ea4b_1-357,CORC 1000+,ad6ec91f-3976-45b6-92da-8ecfb963ea4b,2025-12-05T09:17:32.946Z,2025,357,C05000000,Geologically stored carbon,631817,Orca plant,CORC 1000+,2025-05-01,2025-08-31,"350 Solutions, Inc."
a9d5b666-edde-4dff-9545-0151108ebf34,Climeworks AG,2025-12-04T18:34:45.448Z,PURO_PR_CORC1000+_IS_417791_2025_a9d5b666-edde-4dff-9545-0151108ebf34_1-278,CORC 1000+,a9d5b666-edde-4dff-9545-0151108ebf34,2025-12-04T18:34:45.448Z,2025,278,C05202402,"Geologically stored carbon, 2024",417791,Mammoth ,CORC 1000+,2025-03-01,2025-08-31,"350 Solutions, Inc."
b9c26964-48a4-411e-af8a-23c5ab6181db,"Lithos Carbon, Inc.",2025-12-03T12:30:34.806Z,PURO_PR_CORC1000+_US_782763_2025_b9c26964-48a4-411e-af8a-23c5ab6181db_1-2146,CORC 1000+,b9c26964-48a4-411e-af8a-23c5ab6181db,2025-12-03T12:30:34.806Z,2025,2146,C07000000,"Enhanced Rock Weathering, 2022",782763,Lithos Mid-Atlantic Facility,CORC 1000+,2023-05-25,2025-04-29,Eco Engineers
679eb5ea-51b0-429f-874f-f12826381cdc,"Lithos Carbon, Inc.",2025-12-03T12:29:14.730Z,PURO_PR_CORC1000+_US_606367_2025_679eb5ea-51b0-429f-874f-f12826381cdc_1-2362,CORC 1000+,679eb5ea-51b0-429f-874f-f12826381cdc,2025-12-03T12:29:14.730Z,2025,2362,C07000000,"Enhanced Rock Weathering, 2022",606367,Lithos Mid-West Facility,CORC 1000+,2024-06-13,2025-06-02,Eco Engineers
